0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0.2,BoneVRepeat,128,257,95,0,180,10,120
0,BoneVRepeat,128,366,20,0,180,10,120
0,BoneVRepeat,503,257,95,2,180,10,120
0,BoneVRepeat,503,366,20,2,180,10,120
5,HeartMode,0,
2.4,SansSlam,3,
0,BoneVRepeat,128,257,20,0,180,10,120
0,BoneVRepeat,128,366,95,0,180,10,120
0,BoneVRepeat,503,257,20,2,180,10,120
0,BoneVRepeat,503,366,95,2,180,10,120
0,GasterBlaster,1.5,0,0,0,325,0,0.25,2.5,
6.4,EndAttack,,,,,,,
